,player_pos,collision,current_direction,current_drift,level_done,input_noise_magnitude,input_noise_threshold,visible_obstacles,visible_drift_tiles
0,"[672, 146]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
1,"[672, 152]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
2,"[672, 158]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
3,"[672, 164]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
4,"[672, 170]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
5,"[672, 176]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
6,"[672, 182]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
7,"[672, 188]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
8,"[672, 194]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
9,"[672, 200]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
10,"[672, 206]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
11,"[672, 212]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
12,"[672, 218]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
13,"[672, 224]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
14,"[672, 230]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
15,"[672, 236]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
16,"[672, 242]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
17,"[672, 248]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
18,"[672, 254]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
19,"[672, 260]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
20,"[672, 266]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
21,"[672, 272]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
22,"[672, 278]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
23,"[672, 284]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
24,"[672, 290]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
25,"[672, 296]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
26,"[672, 302]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
27,"[672, 308]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
28,"[672, 314]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
29,"[672, 320]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
30,"[672, 326]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
31,"[672, 332]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
32,"[672, 338]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
33,"[672, 344]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
34,"[672, 350]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
35,"[672, 356]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
36,"[672, 362]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
37,"[672, 368]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
38,"[672, 374]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
39,"[672, 380]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
40,"[672, 386]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
41,"[672, 392]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
42,"[672, 398]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
43,"[672, 404]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
44,"[672, 410]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
45,"[672, 416]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
46,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
47,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
48,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
49,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
50,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
51,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
52,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
53,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
54,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
55,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
56,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
57,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
58,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
59,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
60,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
61,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
62,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
63,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
64,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
65,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
66,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
67,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
68,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
69,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
70,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
71,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
72,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
73,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
74,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
75,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
76,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
77,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
78,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
79,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
80,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
81,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
82,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
83,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
84,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
85,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
86,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
87,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
88,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
89,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
90,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
91,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
92,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],[[]]
93,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 836])]]"
94,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 826])]]"
95,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 816])]]"
96,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 806])]]"
97,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 796])]]"
98,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 786])]]"
99,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 776])]]"
100,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 766])]]"
101,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 756])]]"
102,"[672, 422]",False,"[0.531439, 0]","[0, 0]",False,weak,"14700,0",[[]],"[[array([353, 746])]]"
