x_position_of_agent,y_position_of_agent,action
40.0,31,1
40.0,32,1
40.0,33,1
40.0,34,1
40.0,35,1
40.0,36,1
40.0,37,1
40.0,38,1
40.0,39,1
40.0,40,1
40.0,41,1
40.0,42,1
40.0,43,1
40.0,44,1
40.0,45,1
40.0,46,1
40.0,47,1
40.0,48,1
40.0,49,1
40.0,50,1
40.0,51,1
40.0,52,1
40.0,53,1
40.0,54,1
40.0,55,1
40.0,56,1
40.0,57,1
40.0,58,1
40.0,59,1
40.0,60,1
40.0,61,1
40.0,62,1
40.0,63,1
40.0,64,1
40.0,65,1
40.0,66,1
40.0,67,1
40.0,68,1
40.0,69,1
40.0,70,1
40.0,71,1
40.0,72,1
40.0,73,1
40.0,74,1
40.0,75,1
40.0,76,1
40.0,77,1
40.0,78,1
40.0,79,1
40.0,80,1
40.0,81,1
40.0,82,1
40.0,83,1
40.0,84,1
40.0,85,1
40.0,86,1
40.0,87,1
40.0,88,1
40.0,89,1
40.0,90,1
40.0,91,1
40.0,92,1
40.0,93,1
40.0,94,1
40.0,95,1
40.0,96,1
40.0,97,1
40.0,98,1
40.0,99,1
40.0,100,1
40.0,101,1
40.0,102,1
40.0,103,1
40.0,104,1
40.0,105,1
40.0,106,1
40.0,107,1
40.0,108,1
40.0,109,1
40.0,110,1
40.0,111,1
40.0,112,1
40.0,113,1
40.0,114,1
40.0,115,1
40.0,116,1
40.0,117,1
40.0,118,1
40.0,119,1
40.0,120,1
40.0,121,1
40.0,122,1
40.0,123,1
40.0,124,1
40.0,125,1
40.0,126,1
40.0,127,1
40.0,128,1
40.0,129,1
40.0,130,1
40.0,131,1
40.0,132,1
40.0,133,1
40.0,134,1
40.0,135,1
40.0,136,1
40.0,137,1
40.0,138,1
40.0,139,1
40.0,140,1
40.0,141,1
40.0,142,1
40.0,143,1
40.0,144,1
40.0,145,1
40.0,146,1
40.0,147,1
40.0,148,1
40.0,149,1
40.0,150,1
40.0,151,1
40.0,152,1
40.0,153,1
40.0,154,1
40.0,155,1
40.0,156,1
40.0,157,1
40.0,158,1
40.0,159,1
40.0,160,1
40.0,161,1
40.0,162,1
40.0,163,1
40.0,164,1
40.0,165,1
40.0,166,1
40.0,167,1
40.0,168,1
40.0,169,1
40.0,170,1
40.0,171,1
40.0,172,1
40.0,173,1
40.0,174,1
40.0,175,1
40.0,176,1
40.0,177,1
40.0,178,1
40.0,179,1
40.0,180,1
40.0,181,1
40.0,182,1
40.0,183,1
40.0,184,1
40.0,185,1
40.0,186,1
40.0,187,1
40.0,188,1
40.0,189,1
40.0,190,1
40.0,191,1
40.0,192,1
40.0,193,1
40.0,194,1
40.0,195,1
40.0,196,1
40.0,197,1
40.0,198,1
40.0,199,1
40.0,200,1
40.0,201,1
40.0,202,1
40.0,203,1
40.0,204,1
40.0,205,1
40.0,206,1
40.0,207,1
40.0,208,1
40.0,209,1
40.0,210,1
40.0,211,1
40.0,212,1
40.0,213,1
40.0,214,1
40.0,215,1
40.0,216,1
40.0,217,1
40.0,218,1
40.0,219,1
40.0,220,1
40.0,221,1
40.0,222,1
40.0,223,1
40.0,224,1
40.0,225,1
40.0,226,1
40.0,227,1
40.0,228,1
40.0,229,1
40.0,230,1
40.0,231,1
40.0,232,1
40.0,233,1
40.0,234,1
40.0,235,1
40.0,236,1
40.0,237,1
40.0,238,1
40.0,239,1
40.0,240,1
40.0,241,1
40.0,242,1
40.0,243,1
40.0,244,1
40.0,245,1
40.0,246,1
40.0,247,1
40.0,248,1
40.0,249,1
40.0,250,1
40.0,251,1
40.0,252,1
40.0,253,1
40.0,254,1
40.0,255,1
40.0,256,1
40.0,257,1
40.0,258,1
40.0,259,1
40.0,260,1
40.0,261,1
40.0,262,1
40.0,263,1
40.0,264,1
40.0,265,1
40.0,266,1
40.0,267,1
40.0,268,1
40.0,269,1
40.0,270,1
40.0,271,1
40.0,272,1
40.0,273,1
40.0,274,1
40.0,275,1
40.0,276,1
40.0,277,1
40.0,278,1
40.0,279,1
40.0,280,1
40.0,281,1
40.0,282,1
40.0,283,1
40.0,284,1
40.0,285,1
40.0,286,1
40.0,287,1
40.0,288,1
40.0,289,1
40.0,290,1
40.0,291,1
40.0,292,1
40.0,293,1
40.0,294,1
40.0,295,1
40.0,296,1
40.0,297,1
40.0,298,1
40.0,299,1
40.0,300,1
40.0,301,1
40.0,302,1
40.0,303,1
40.0,304,1
40.0,305,1
40.0,306,1
40.0,307,1
40.0,308,1
40.0,309,1
40.0,310,1
40.0,311,1
40.0,312,1
40.0,313,1
40.0,314,1
40.0,315,1
40.0,316,1
40.0,317,1
40.0,318,1
40.0,319,1
40.0,320,1
40.0,321,1
40.0,322,1
40.0,323,1
40.0,324,1
40.0,325,1
40.0,326,1
40.0,327,1
40.0,328,1
40.0,329,1
40.0,330,1
40.0,331,1
40.0,332,1
40.0,333,1
40.0,334,1
40.0,335,1
40.0,336,1
40.0,337,1
40.0,338,1
40.0,339,1
40.0,340,1
