0:[[101, 106, 2], [181, 186, 0], [264, 269, 2], [298, 303, 0], [316, 321, 2], [388, 393, 0]]
1:[[159, 164, 2], [187, 192, 0], [194, 199, 2], [246, 251, 0], [311, 316, 2], [343, 348, 0]]
2:[[110, 115, 2], [165, 170, 0], [192, 197, 2], [218, 223, 0], [331, 336, 2], [370, 375, 0]]
3:[[118, 123, 2], [284, 289, 0], [295, 300, 2], [308, 313, 0], [317, 322, 2], [330, 335, 0]]
4:[[79, 84, 2], [139, 144, 0], [200, 205, 2], [293, 298, 0], [345, 350, 2], [360, 365, 0]]
5:[[84, 89, 2], [91, 96, 0], [123, 128, 2], [204, 209, 0], [274, 279, 2], [354, 359, 0]]
6:[[192, 197, 2], [237, 242, 0], [285, 290, 2], [293, 298, 0], [346, 351, 2], [353, 358, 0]]
7:[[64, 69, 2], [77, 82, 0], [99, 104, 2], [265, 270, 0], [338, 343, 2], [380, 385, 0]]
8:[[64, 69, 2], [95, 100, 0], [241, 246, 2], [302, 307, 0], [348, 353, 2], [354, 359, 0]]
9:[[92, 97, 2], [277, 282, 0], [338, 343, 2], [345, 350, 0], [368, 373, 2], [389, 394, 0]]
10:[[73, 78, 2], [96, 101, 0], [156, 161, 2], [292, 297, 0], [342, 347, 2], [381, 386, 0]]
11:[[92, 97, 2], [102, 107, 0], [114, 119, 2], [204, 209, 0], [287, 292, 2], [315, 320, 0]]
12:[[163, 168, 2], [183, 188, 0], [290, 295, 2], [312, 317, 0], [332, 337, 2], [340, 345, 0]]
13:[[70, 75, 2], [131, 136, 0], [243, 248, 2], [341, 346, 0], [348, 353, 2], [381, 386, 0]]
